SPPARKS (18 May 2017)
Reading site file ...
  15872 sites
  71680 neighbors
  31744 values
  512 sites have 1 neighbors
  256 sites have 2 neighbors
  5120 sites have 3 neighbors
  4864 sites have 4 neighbors
  0 sites have 5 neighbors
  0 sites have 6 neighbors
  5120 sites have 7 neighbors
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.08984 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU events O OH Hf HfX4O HfHX4O HfH2X4O HfH3X4O HfH4X4O HfX4OH HfHX4OH HfH2X4OH HfH3X4OH HfH4X4OH OH2
         0          0          0          0          0 896 256 256 0 0 0 0 0 0 0 0 0 0 0 0
5.00001e-06     936960          0          0        114 726 347 158 0 0 0 0 0 0 0 0 0 0 0 0
     1e-05    2615510          0          0        315 682 380 124 0 0 0 0 0 0 0 0 0 0 0 0
   1.5e-05    4048607          0          0        488 629 392 112 0 0 0 0 0 0 0 0 0 0 0 0
     2e-05    5201065          0          0        629 566 407 100 0 0 0 0 0 0 0 0 0 0 0 0
   2.5e-05    6077291          0          0        738 500 421 89 0 0 0 0 0 0 0 0 0 0 0 0
     3e-05    6829194          0          0        833 492 426 84 0 0 0 0 0 0 0 0 0 0 0 0
   3.5e-05    7551724          0          0        924 513 424 86 0 0 0 0 0 0 0 0 0 0 0 0
     4e-05    8232802          0          0   1.01e+03 474 429 81 0 0 0 0 0 0 0 0 0 0 0 0
   4.5e-05    8872952          0          0   1.09e+03 457 431 80 0 0 0 0 0 0 0 0 0 0 0 0
     5e-05    9418491          0          0   1.16e+03 467 432 80 0 0 0 0 0 0 0 0 0 0 0 0
   5.5e-05    9943619          0          0   1.23e+03 482 432 80 0 0 0 0 0 0 0 0 0 0 0 0
     6e-05   10481023          0          0    1.3e+03 458 434 77 0 0 0 0 0 0 0 0 0 0 0 0
   6.5e-05   11017726          0          0   1.36e+03 430 436 76 0 0 0 0 0 0 0 0 0 0 0 0
     7e-05   11528200          0          0   1.43e+03 474 436 76 0 0 0 0 0 0 0 0 0 0 0 0
   7.5e-05   12036944          0          0   1.49e+03 465 436 76 0 0 0 0 0 0 0 0 0 0 0 0
     8e-05   12545933          0          0   1.56e+03 441 436 76 0 0 0 0 0 0 0 0 0 0 0 0
   8.5e-05   13055787          0          0   1.63e+03 408 440 72 0 0 0 0 0 0 0 0 0 0 0 0
     9e-05   13548469          0          0   1.69e+03 449 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   9.5e-05   14041794          0          0   1.75e+03 437 440 72 0 0 0 0 0 0 0 0 0 0 0 0
    0.0001   14534687          0          0   1.82e+03 438 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000105   15026257          0          0   1.88e+03 419 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00011   15518200          0          0   1.94e+03 433 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000115   16010570          0          0      2e+03 443 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00012   16503007          0          0   2.07e+03 456 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000125   16995224          0          0   2.13e+03 431 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00013   17487459          0          0   2.19e+03 434 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000135   17979032          0          0   2.26e+03 450 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00014   18471338          0          0   2.32e+03 423 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000145   18963674          0          0   2.38e+03 463 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00015   19457261          0          0   2.45e+03 422 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000155   19949592          0          0   2.51e+03 409 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00016   20443500          0          0   2.57e+03 423 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000165   20937100          0          0   2.64e+03 415 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00017   21428363          0          0    2.7e+03 435 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000175   21921377          0          0   2.76e+03 442 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00018   22413663          0          0   2.83e+03 412 440 72 0 0 0 0 0 0 0 0 0 0 0 0
